Date,Open,High,Low,Close,Adj Close,Volume,Name
2019-05-09,1900.0,1909.4000239999998,1876.0,1899.869995,1899.869995,5308300,Amazon
2019-05-10,1898.0,1903.790039,1856.0,1889.97998,1889.97998,5718000,Amazon
2019-05-13,1836.560059,1846.540039,1818.0,1822.680054,1822.680054,5783400,Amazon
2019-05-14,1839.5,1852.439941,1815.75,1840.119995,1840.119995,4629100,Amazon
2019-05-15,1827.949951,1874.430054,1823.0,1871.1500239999998,1871.1500239999998,4692600,Amazon
2019-05-16,1885.939941,1917.5100100000002,1882.290039,1907.569946,1907.569946,4707800,Amazon
2019-05-17,1893.050049,1910.530029,1867.3299559999998,1869.0,1869.0,4736600,Amazon
2019-05-20,1852.689941,1867.780029,1835.540039,1858.969971,1858.969971,3798200,Amazon
2019-05-21,1874.790039,1879.0,1846.0,1857.52002,1857.52002,4005100,Amazon
2019-05-22,1851.780029,1871.4899899999998,1851.0,1859.680054,1859.680054,2936600,Amazon
2019-05-23,1836.589966,1844.0,1804.199951,1815.47998,1815.47998,4424300,Amazon
2019-05-24,1835.890015,1841.7600100000002,1817.8499760000002,1823.280029,1823.280029,3369700,Amazon
2019-05-28,1832.75,1849.27002,1827.3499760000002,1836.430054,1836.430054,3200000,Amazon
2019-05-29,1823.119995,1830.0,1807.530029,1819.189941,1819.189941,4279000,Amazon
2019-05-30,1825.4899899999998,1829.469971,1807.8299559999998,1816.319946,1816.319946,3146900,Amazon
2019-05-31,1790.0100100000002,1795.589966,1772.699951,1775.069946,1775.069946,4618800,Amazon
2019-06-03,1760.0100100000002,1766.290039,1672.0,1692.689941,1692.689941,9098700,Amazon
2019-06-04,1699.2399899999998,1730.819946,1680.890015,1729.560059,1729.560059,5679100,Amazon
2019-06-05,1749.5999760000002,1752.0,1715.25,1738.5,1738.5,4239800,Amazon
2019-06-06,1737.709961,1760.0,1726.130005,1754.359985,1754.359985,3689300,Amazon
2019-06-07,1763.699951,1806.25,1759.4899899999998,1804.030029,1804.030029,4808200,Amazon
2019-06-10,1822.0,1884.869995,1818.0,1860.630005,1860.630005,5371000,Amazon
2019-06-11,1883.25,1893.699951,1858.0,1863.699951,1863.699951,4042700,Amazon
2019-06-12,1853.97998,1865.0,1844.380005,1855.319946,1855.319946,2674500,Amazon
2019-06-13,1866.719971,1883.089966,1862.219971,1870.300049,1870.300049,2795800,Amazon
2019-06-14,1864.0,1876.0,1859.0,1869.6700440000002,1869.6700440000002,2851200,Amazon
2019-06-17,1876.5,1895.689941,1875.449951,1886.030029,1886.030029,2634300,Amazon
2019-06-18,1901.3499760000002,1921.6700440000002,1899.790039,1901.369995,1901.369995,3895700,Amazon
2019-06-19,1907.839966,1919.5799559999998,1892.469971,1908.790039,1908.790039,2895300,Amazon
2019-06-20,1933.3299559999998,1935.199951,1905.800049,1918.189941,1918.189941,3217200,Amazon
2019-06-21,1916.0999760000002,1925.949951,1907.5799559999998,1911.300049,1911.300049,3933600,Amazon
2019-06-24,1912.660034,1916.859985,1901.300049,1913.9000239999998,1913.9000239999998,2283000,Amazon
2019-06-25,1911.839966,1916.390015,1872.4200440000002,1878.27002,1878.27002,3012300,Amazon
2019-06-26,1892.47998,1903.800049,1887.319946,1897.8299559999998,1897.8299559999998,2441900,Amazon
2019-06-27,1902.0,1911.2399899999998,1898.040039,1904.280029,1904.280029,2141700,Amazon
2019-06-28,1909.0999760000002,1912.939941,1884.0,1893.630005,1893.630005,3037400,Amazon
2019-07-01,1922.97998,1929.819946,1914.660034,1922.189941,1922.189941,3203300,Amazon
2019-07-02,1919.380005,1934.790039,1906.630005,1934.310059,1934.310059,2645900,Amazon
2019-07-03,1935.890015,1941.589966,1930.5,1939.0,1939.0,1690300,Amazon
2019-07-05,1928.5999760000002,1945.9000239999998,1925.300049,1942.910034,1942.910034,2628400,Amazon
2019-07-08,1934.119995,1956.0,1928.25,1952.319946,1952.319946,2883400,Amazon
2019-07-09,1947.800049,1990.0100100000002,1943.47998,1988.300049,1988.300049,4345700,Amazon
2019-07-10,1996.5100100000002,2024.939941,1995.4000239999998,2017.410034,2017.410034,4931900,Amazon
2019-07-11,2025.619995,2035.800049,1995.300049,2001.069946,2001.069946,4317800,Amazon
2019-07-12,2008.27002,2017.0,2003.869995,2011.0,2011.0,2509300,Amazon
2019-07-15,2021.4000239999998,2022.9000239999998,2001.550049,2020.9899899999998,2020.9899899999998,2981300,Amazon
2019-07-16,2010.5799559999998,2026.319946,2001.219971,2009.9000239999998,2009.9000239999998,2618200,Amazon
2019-07-17,2007.050049,2012.0,1992.030029,1992.030029,1992.030029,2558800,Amazon
2019-07-18,1980.0100100000002,1987.5,1951.550049,1977.9000239999998,1977.9000239999998,3504300,Amazon
2019-07-19,1991.209961,1996.0,1962.22998,1964.52002,1964.52002,3185600,Amazon
2019-07-22,1971.140015,1989.0,1958.2600100000002,1985.630005,1985.630005,2900000,Amazon
2019-07-23,1995.9899899999998,1997.790039,1973.130005,1994.4899899999998,1994.4899899999998,2703500,Amazon
2019-07-24,1969.300049,2001.300049,1965.869995,2000.810059,2000.810059,2631300,Amazon
2019-07-25,2001.0,2001.199951,1972.719971,1973.819946,1973.819946,4136500,Amazon
2019-07-26,1942.0,1950.9000239999998,1924.5100100000002,1943.050049,1943.050049,4927100,Amazon
2019-07-29,1930.0,1932.22998,1890.540039,1912.449951,1912.449951,4493200,Amazon
2019-07-30,1891.119995,1909.890015,1883.47998,1898.530029,1898.530029,2910900,Amazon
2019-07-31,1898.109985,1899.550049,1849.439941,1866.780029,1866.780029,4470700,Amazon
2019-08-01,1871.719971,1897.9200440000002,1844.0100100000002,1855.319946,1855.319946,4713300,Amazon
2019-08-02,1845.069946,1846.359985,1808.02002,1823.2399899999998,1823.2399899999998,4956200,Amazon
2019-08-05,1770.219971,1788.6700440000002,1748.780029,1765.130005,1765.130005,6058200,Amazon
2019-08-06,1792.22998,1793.77002,1753.4000239999998,1787.8299559999998,1787.8299559999998,5070300,Amazon
2019-08-07,1773.9899899999998,1798.930054,1757.0,1793.4000239999998,1793.4000239999998,4526900,Amazon
2019-08-08,1806.0,1834.2600100000002,1798.109985,1832.890015,1832.890015,3701200,Amazon
2019-08-09,1828.949951,1831.089966,1802.219971,1807.5799559999998,1807.5799559999998,2879800,Amazon
2019-08-12,1795.9899899999998,1800.97998,1777.0,1784.9200440000002,1784.9200440000002,2905500,Amazon
2019-08-13,1783.0,1831.7399899999998,1780.0,1824.339966,1824.339966,3994000,Amazon
2019-08-14,1793.0100100000002,1795.6500239999998,1757.219971,1762.959961,1762.959961,4893600,Amazon
2019-08-15,1781.9899899999998,1788.0,1761.959961,1776.119995,1776.119995,3759100,Amazon
2019-08-16,1792.890015,1802.910034,1784.550049,1792.569946,1792.569946,3018000,Amazon
2019-08-19,1818.0799559999998,1826.0,1812.609985,1816.119995,1816.119995,2816300,Amazon
2019-08-20,1814.5,1816.819946,1799.880005,1801.380005,1801.380005,1929500,Amazon
2019-08-21,1819.390015,1829.5799559999998,1815.0,1823.540039,1823.540039,2031800,Amazon
2019-08-22,1828.0,1829.410034,1800.0999760000002,1804.660034,1804.660034,2653500,Amazon
2019-08-23,1793.030029,1804.9000239999998,1745.22998,1749.619995,1749.619995,5270800,Amazon
2019-08-26,1766.910034,1770.0,1743.5100100000002,1768.869995,1768.869995,3080000,Amazon
2019-08-27,1775.72998,1779.4000239999998,1746.680054,1761.8299559999998,1761.8299559999998,3019700,Amazon
2019-08-28,1755.0,1767.859985,1744.050049,1764.25,1764.25,2419700,Amazon
2019-08-29,1783.0,1798.550049,1777.25,1786.4000239999998,1786.4000239999998,3015100,Amazon
2019-08-30,1797.4899899999998,1799.7399899999998,1764.569946,1776.290039,1776.290039,3058700,Amazon
2019-09-03,1770.0,1800.800049,1768.0,1789.839966,1789.839966,3543000,Amazon
2019-09-04,1805.0,1807.630005,1796.22998,1800.619995,1800.619995,2324100,Amazon
2019-09-05,1821.949951,1842.0,1815.5799559999998,1840.719971,1840.719971,3310800,Amazon
2019-09-06,1838.219971,1840.6500239999998,1826.4000239999998,1833.5100100000002,1833.5100100000002,2496900,Amazon
2019-09-09,1841.0,1850.0,1824.609985,1831.3499760000002,1831.3499760000002,2999500,Amazon
2019-09-10,1822.75,1825.810059,1805.339966,1820.550049,1820.550049,2613900,Amazon
2019-09-11,1812.140015,1833.4200440000002,1809.0799559999998,1822.9899899999998,1822.9899899999998,2432800,Amazon
2019-09-12,1837.630005,1853.660034,1834.280029,1843.550049,1843.550049,2823500,Amazon
2019-09-13,1842.0100100000002,1846.119995,1835.1700440000002,1839.339966,1839.339966,1971300,Amazon
2019-09-16,1824.02002,1825.689941,1800.199951,1807.839966,1807.839966,3675500,Amazon
2019-09-17,1807.0799559999998,1823.9899899999998,1804.0999760000002,1822.550049,1822.550049,1982400,Amazon
2019-09-18,1817.040039,1822.060059,1795.5,1817.459961,1817.459961,2505600,Amazon
2019-09-19,1821.02002,1832.569946,1817.9000239999998,1821.5,1821.5,2031500,Amazon
2019-09-20,1821.709961,1830.630005,1780.9200440000002,1794.160034,1794.160034,5341900,Amazon
2019-09-23,1777.0,1792.699951,1767.319946,1785.300049,1785.300049,2922300,Amazon
2019-09-24,1790.609985,1795.709961,1735.550049,1741.609985,1741.609985,4616000,Amazon
2019-09-25,1747.359985,1773.0,1723.0,1768.3299559999998,1768.3299559999998,3493200,Amazon
2019-09-26,1762.790039,1763.369995,1731.5,1739.839966,1739.839966,3536800,Amazon
2019-09-27,1748.0,1749.119995,1713.819946,1725.449951,1725.449951,3907200,Amazon
2019-09-30,1726.9899899999998,1737.459961,1709.219971,1735.910034,1735.910034,2644700,Amazon
2019-10-01,1746.0,1755.5999760000002,1728.410034,1735.6500239999998,1735.6500239999998,3084500,Amazon
2019-10-02,1727.7399899999998,1728.890015,1705.0,1713.22998,1713.22998,3301100,Amazon
2019-10-03,1713.0,1725.0,1685.060059,1724.4200440000002,1724.4200440000002,3468200,Amazon
2019-10-04,1726.02002,1740.5799559999998,1719.22998,1739.6500239999998,1739.6500239999998,2471900,Amazon
2019-10-07,1731.630005,1747.8299559999998,1723.699951,1732.660034,1732.660034,2154700,Amazon
2019-10-08,1722.4899899999998,1727.0,1705.0,1705.5100100000002,1705.5100100000002,2542000,Amazon
2019-10-09,1719.609985,1729.949951,1714.359985,1721.9899899999998,1721.9899899999998,2043500,Amazon
2019-10-10,1725.2399899999998,1738.290039,1713.75,1720.2600100000002,1720.2600100000002,2575200,Amazon
2019-10-11,1742.9200440000002,1745.449951,1729.859985,1731.9200440000002,1731.9200440000002,3255000,Amazon
2019-10-14,1728.910034,1741.890015,1722.0,1736.430054,1736.430054,1910200,Amazon
2019-10-15,1742.140015,1776.449951,1740.619995,1767.380005,1767.380005,3111700,Amazon
2019-10-16,1773.3299559999998,1786.2399899999998,1770.52002,1777.430054,1777.430054,2763400,Amazon
2019-10-17,1796.4899899999998,1798.8499760000002,1782.02002,1787.47998,1787.47998,2647400,Amazon
2019-10-18,1787.800049,1793.97998,1749.199951,1757.5100100000002,1757.5100100000002,3362500,Amazon
2019-10-21,1769.660034,1785.880005,1765.0,1785.660034,1785.660034,2130400,Amazon
2019-10-22,1788.1500239999998,1789.780029,1762.0,1765.72998,1765.72998,2111700,Amazon
2019-10-23,1761.300049,1770.050049,1742.0,1762.1700440000002,1762.1700440000002,2138200,Amazon
2019-10-24,1771.089966,1788.339966,1760.27002,1780.780029,1780.780029,4446100,Amazon
2019-10-25,1697.550049,1764.209961,1695.0,1761.3299559999998,1761.3299559999998,9626400,Amazon
2019-10-28,1748.060059,1778.699951,1742.5,1777.0799559999998,1777.0799559999998,3708900,Amazon
2019-10-29,1774.810059,1777.0,1755.810059,1762.709961,1762.709961,2276900,Amazon
2019-10-30,1760.2399899999998,1782.380005,1759.119995,1779.9899899999998,1779.9899899999998,2449400,Amazon
2019-10-31,1775.9899899999998,1792.0,1771.47998,1776.660034,1776.660034,2781200,Amazon
2019-11-01,1788.0100100000002,1797.449951,1785.209961,1791.439941,1791.439941,2790400,Amazon
2019-11-04,1801.0100100000002,1815.060059,1801.0100100000002,1804.660034,1804.660034,2771900,Amazon
2019-11-05,1809.160034,1810.25,1794.0,1801.709961,1801.709961,1885500,Amazon
2019-11-06,1801.0,1802.5,1788.5799559999998,1795.77002,1795.77002,2029800,Amazon
2019-11-07,1803.7600100000002,1805.9000239999998,1783.47998,1788.199951,1788.199951,2651100,Amazon
2019-11-08,1787.890015,1789.880005,1774.040039,1785.880005,1785.880005,2123300,Amazon
2019-11-11,1778.0,1780.0,1767.130005,1771.6500239999998,1771.6500239999998,1946000,Amazon
2019-11-12,1774.660034,1786.219971,1771.910034,1778.0,1778.0,2037600,Amazon
2019-11-13,1773.390015,1775.0,1747.319946,1753.109985,1753.109985,2989500,Amazon
2019-11-14,1751.430054,1766.589966,1749.560059,1754.5999760000002,1754.5999760000002,2264800,Amazon
2019-11-15,1760.050049,1761.680054,1732.859985,1739.4899899999998,1739.4899899999998,3927600,Amazon
2019-11-18,1738.300049,1753.699951,1722.709961,1752.530029,1752.530029,2839500,Amazon
2019-11-19,1756.9899899999998,1760.680054,1743.030029,1752.790039,1752.790039,2270800,Amazon
2019-11-20,1749.140015,1762.52002,1734.119995,1745.530029,1745.530029,2790000,Amazon
2019-11-21,1743.0,1746.869995,1730.359985,1734.709961,1734.709961,2662900,Amazon
2019-11-22,1739.02002,1746.430054,1731.0,1745.719971,1745.719971,2479100,Amazon
2019-11-25,1753.25,1777.4200440000002,1753.2399899999998,1773.839966,1773.839966,3486200,Amazon
2019-11-26,1779.9200440000002,1797.030029,1778.3499760000002,1796.939941,1796.939941,3181200,Amazon
2019-11-27,1801.0,1824.5,1797.310059,1818.5100100000002,1818.5100100000002,3025600,Amazon
2019-11-29,1817.780029,1824.689941,1800.790039,1800.800049,1800.800049,1923400,Amazon
2019-12-02,1804.4000239999998,1805.550049,1762.680054,1781.5999760000002,1781.5999760000002,3925600,Amazon
2019-12-03,1760.0,1772.869995,1747.22998,1769.959961,1769.959961,3380900,Amazon
2019-12-04,1774.0100100000002,1789.089966,1760.219971,1760.689941,1760.689941,2670100,Amazon
2019-12-05,1763.5,1763.5,1740.0,1740.47998,1740.47998,2823800,Amazon
2019-12-06,1751.199951,1754.4000239999998,1740.130005,1751.5999760000002,1751.5999760000002,3117400,Amazon
2019-12-09,1750.660034,1766.890015,1745.609985,1749.5100100000002,1749.5100100000002,2442800,Amazon
2019-12-10,1747.4000239999998,1750.6700440000002,1735.0,1739.209961,1739.209961,2514300,Amazon
2019-12-11,1741.6700440000002,1750.0,1735.709961,1748.719971,1748.719971,2097600,Amazon
2019-12-12,1750.0,1764.0,1745.439941,1760.3299559999998,1760.3299559999998,3095900,Amazon
2019-12-13,1765.0,1768.9899899999998,1755.0,1760.939941,1760.939941,2745700,Amazon
2019-12-16,1767.0,1769.5,1757.050049,1769.209961,1769.209961,3145200,Amazon
2019-12-17,1778.0100100000002,1792.0,1777.390015,1790.660034,1790.660034,3644400,Amazon
2019-12-18,1795.02002,1798.199951,1782.359985,1784.030029,1784.030029,3351400,Amazon
2019-12-19,1780.5,1792.9899899999998,1774.060059,1792.280029,1792.280029,2652800,Amazon
2019-12-20,1799.619995,1802.969971,1782.449951,1786.5,1786.5,5150800,Amazon
